die_opening,distance,thickness,mean_springback
30,15.0,0.5,2.029
30,15.0,2.5,0.9576666666666668
30,2.5,2.5,0.5982
30,5.0,1.0,0.851
30,2.5,2.5,0.5982
30,15.0,0.5,2.029
30,15.0,2.5,0.9576666666666668
30,15.0,1.5,1.1096666666666666
30,15.0,0.5,2.029
30,2.5,2.5,0.5982
30,15.0,2.0,0.8876666666666666
30,12.5,0.5,1.7403333333333333
30,10.0,3.0,0.5976666666666667
30,2.5,2.5,0.5982
30,17.5,2.5,1.1126666666666665
30,20.0,1.5,1.4116666666666668
30,2.5,2.5,0.5982
30,20.0,1.5,1.4116666666666668
30,12.5,0.5,1.7403333333333333
30,12.5,2.5,0.8405
30,15.0,3.0,0.7720000000000001
30,2.5,3.0,0.465
30,17.5,0.5,2.6945
30,7.5,0.5,1.3143333333333336
30,2.5,2.5,0.5982
30,2.5,2.5,0.5982
30,2.5,2.5,0.5982
30,10.0,0.5,1.5273333333333332
30,12.5,2.5,0.8405
30,17.5,0.5,2.6945
30,2.5,2.5,0.5982
30,2.5,3.0,0.465
30,20.0,1.0,1.7586666666666666
30,7.5,2.5,0.6786666666666666
30,12.5,0.5,1.7403333333333333
30,20.0,1.5,1.4116666666666668
30,2.5,1.0,0.63
30,15.0,3.0,0.7720000000000001
30,5.0,1.5,0.6476666666666667
30,10.0,2.5,0.6895000000000001
30,17.5,2.5,1.1126666666666665
30,15.0,0.5,2.029
30,15.0,2.5,0.9576666666666668
30,15.0,2.5,0.9576666666666668
30,5.0,3.0,0.48300000000000004
30,12.5,2.5,0.8405
30,10.0,1.5,0.7006666666666668
30,10.0,1.5,0.7006666666666668
30,17.5,2.5,1.1126666666666665
30,15.0,2.5,0.9576666666666668
30,5.0,2.5,0.6084
30,17.5,0.5,2.6945
30,7.5,0.5,1.3143333333333336
30,5.0,1.0,0.851
30,15.0,2.5,0.9576666666666668
30,20.0,1.5,1.4116666666666668
30,15.0,2.0,0.8876666666666666
30,15.0,2.5,0.9576666666666668
30,2.5,1.5,0.8033333333333333
